year,column_name,total_count,count_not_nulls,survey_table_name
2013,C15ENPRF,7764,0,InstitutionalCharacteristics_HD
2012,C15ENPRF,7735,0,InstitutionalCharacteristics_HD
2011,C15ENPRF,7643,0,InstitutionalCharacteristics_HD
2010,C15ENPRF,7503,0,InstitutionalCharacteristics_HD
2009,C15ENPRF,7316,0,InstitutionalCharacteristics_HD
2008,C15ENPRF,7126,0,InstitutionalCharacteristics_HD
2007,C15ENPRF,7052,0,InstitutionalCharacteristics_HD
2006,C15ENPRF,7052,0,InstitutionalCharacteristics_HD
2005,C15ENPRF,7018,0,InstitutionalCharacteristics_HD
2004,C15ENPRF,6916,0,InstitutionalCharacteristics_HD
2021,C15ENPRF_label,6289,0,InstitutionalCharacteristics_HD
2020,C15ENPRF_label,6440,0,InstitutionalCharacteristics_HD
2019,C15ENPRF_label,6559,0,InstitutionalCharacteristics_HD
2018,C15ENPRF_label,6857,0,InstitutionalCharacteristics_HD
2017,C15ENPRF_label,7153,7153,InstitutionalCharacteristics_HD
2016,C15ENPRF_label,7521,7521,InstitutionalCharacteristics_HD
2015,C15ENPRF_label,7647,7647,InstitutionalCharacteristics_HD
2014,C15ENPRF_label,7687,0,InstitutionalCharacteristics_HD
2013,C15ENPRF_label,7764,0,InstitutionalCharacteristics_HD
2012,C15ENPRF_label,7735,0,InstitutionalCharacteristics_HD
2011,C15ENPRF_label,7643,0,InstitutionalCharacteristics_HD
2010,C15ENPRF_label,7503,0,InstitutionalCharacteristics_HD
2009,C15ENPRF_label,7316,0,InstitutionalCharacteristics_HD
2008,C15ENPRF_label,7126,0,InstitutionalCharacteristics_HD
2007,C15ENPRF_label,7052,0,InstitutionalCharacteristics_HD
2006,C15ENPRF_label,7052,0,InstitutionalCharacteristics_HD
2005,C15ENPRF_label,7018,0,InstitutionalCharacteristics_HD
2004,C15ENPRF_label,6916,0,InstitutionalCharacteristics_HD
2021,C15IPGRD,6289,0,InstitutionalCharacteristics_HD
2020,C15IPGRD,6440,0,InstitutionalCharacteristics_HD
2019,C15IPGRD,6559,0,InstitutionalCharacteristics_HD
2018,C15IPGRD,6857,0,InstitutionalCharacteristics_HD
2017,C15IPGRD,7153,7153,InstitutionalCharacteristics_HD
2016,C15IPGRD,7521,7521,InstitutionalCharacteristics_HD
2015,C15IPGRD,7647,7647,InstitutionalCharacteristics_HD
2014,C15IPGRD,7687,0,InstitutionalCharacteristics_HD
2013,C15IPGRD,7764,0,InstitutionalCharacteristics_HD
2012,C15IPGRD,7735,0,InstitutionalCharacteristics_HD
2011,C15IPGRD,7643,0,InstitutionalCharacteristics_HD
2010,C15IPGRD,7503,0,InstitutionalCharacteristics_HD
2009,C15IPGRD,7316,0,InstitutionalCharacteristics_HD
2008,C15IPGRD,7126,0,InstitutionalCharacteristics_HD
2007,C15IPGRD,7052,0,InstitutionalCharacteristics_HD
2006,C15IPGRD,7052,0,InstitutionalCharacteristics_HD
2005,C15IPGRD,7018,0,InstitutionalCharacteristics_HD
2004,C15IPGRD,6916,0,InstitutionalCharacteristics_HD
2021,C15IPGRD_label,6289,0,InstitutionalCharacteristics_HD
2020,C15IPGRD_label,6440,0,InstitutionalCharacteristics_HD
2019,C15IPGRD_label,6559,0,InstitutionalCharacteristics_HD
2018,C15IPGRD_label,6857,0,InstitutionalCharacteristics_HD
2017,C15IPGRD_label,7153,7153,InstitutionalCharacteristics_HD
2016,C15IPGRD_label,7521,7521,InstitutionalCharacteristics_HD
2015,C15IPGRD_label,7647,7647,InstitutionalCharacteristics_HD
2014,C15IPGRD_label,7687,0,InstitutionalCharacteristics_HD
2013,C15IPGRD_label,7764,0,InstitutionalCharacteristics_HD
2012,C15IPGRD_label,7735,0,InstitutionalCharacteristics_HD
2011,C15IPGRD_label,7643,0,InstitutionalCharacteristics_HD
2010,C15IPGRD_label,7503,0,InstitutionalCharacteristics_HD
2009,C15IPGRD_label,7316,0,InstitutionalCharacteristics_HD
2008,C15IPGRD_label,7126,0,InstitutionalCharacteristics_HD
2007,C15IPGRD_label,7052,0,InstitutionalCharacteristics_HD
2006,C15IPGRD_label,7052,0,InstitutionalCharacteristics_HD
2005,C15IPGRD_label,7018,0,InstitutionalCharacteristics_HD
2004,C15IPGRD_label,6916,0,InstitutionalCharacteristics_HD
2021,C15IPUG,6289,0,InstitutionalCharacteristics_HD
2020,C15IPUG,6440,0,InstitutionalCharacteristics_HD
2019,C15IPUG,6559,0,InstitutionalCharacteristics_HD
2018,C15IPUG,6857,0,InstitutionalCharacteristics_HD
2017,C15IPUG,7153,7153,InstitutionalCharacteristics_HD
2016,C15IPUG,7521,7521,InstitutionalCharacteristics_HD
2015,C15IPUG,7647,7647,InstitutionalCharacteristics_HD
2014,C15IPUG,7687,0,InstitutionalCharacteristics_HD
2013,C15IPUG,7764,0,InstitutionalCharacteristics_HD
2012,C15IPUG,7735,0,InstitutionalCharacteristics_HD
2011,C15IPUG,7643,0,InstitutionalCharacteristics_HD
2010,C15IPUG,7503,0,InstitutionalCharacteristics_HD
2009,C15IPUG,7316,0,InstitutionalCharacteristics_HD
2008,C15IPUG,7126,0,InstitutionalCharacteristics_HD
2007,C15IPUG,7052,0,InstitutionalCharacteristics_HD
2006,C15IPUG,7052,0,InstitutionalCharacteristics_HD
2005,C15IPUG,7018,0,InstitutionalCharacteristics_HD
2004,C15IPUG,6916,0,InstitutionalCharacteristics_HD
2021,C15IPUG_label,6289,0,InstitutionalCharacteristics_HD
2020,C15IPUG_label,6440,0,InstitutionalCharacteristics_HD
2019,C15IPUG_label,6559,0,InstitutionalCharacteristics_HD
2018,C15IPUG_label,6857,0,InstitutionalCharacteristics_HD
2017,C15IPUG_label,7153,7153,InstitutionalCharacteristics_HD
2016,C15IPUG_label,7521,7521,InstitutionalCharacteristics_HD
2015,C15IPUG_label,7647,7647,InstitutionalCharacteristics_HD
2014,C15IPUG_label,7687,0,InstitutionalCharacteristics_HD
2013,C15IPUG_label,7764,0,InstitutionalCharacteristics_HD
2012,C15IPUG_label,7735,0,InstitutionalCharacteristics_HD
2011,C15IPUG_label,7643,0,InstitutionalCharacteristics_HD
2010,C15IPUG_label,7503,0,InstitutionalCharacteristics_HD
2009,C15IPUG_label,7316,0,InstitutionalCharacteristics_HD
2008,C15IPUG_label,7126,0,InstitutionalCharacteristics_HD
2007,C15IPUG_label,7052,0,InstitutionalCharacteristics_HD
2006,C15IPUG_label,7052,0,InstitutionalCharacteristics_HD
2005,C15IPUG_label,7018,0,InstitutionalCharacteristics_HD
2004,C15IPUG_label,6916,0,InstitutionalCharacteristics_HD
2021,C15SZSET,6289,0,InstitutionalCharacteristics_HD
2020,C15SZSET,6440,0,InstitutionalCharacteristics_HD
2019,C15SZSET,6559,0,InstitutionalCharacteristics_HD
2018,C15SZSET,6857,0,InstitutionalCharacteristics_HD
2017,C15SZSET,7153,7153,InstitutionalCharacteristics_HD
2016,C15SZSET,7521,7521,InstitutionalCharacteristics_HD
2015,C15SZSET,7647,7647,InstitutionalCharacteristics_HD
2014,C15SZSET,7687,0,InstitutionalCharacteristics_HD
2013,C15SZSET,7764,0,InstitutionalCharacteristics_HD
2012,C15SZSET,7735,0,InstitutionalCharacteristics_HD
2011,C15SZSET,7643,0,InstitutionalCharacteristics_HD
2010,C15SZSET,7503,0,InstitutionalCharacteristics_HD
2009,C15SZSET,7316,0,InstitutionalCharacteristics_HD
2008,C15SZSET,7126,0,InstitutionalCharacteristics_HD
2007,C15SZSET,7052,0,InstitutionalCharacteristics_HD
2006,C15SZSET,7052,0,InstitutionalCharacteristics_HD
2005,C15SZSET,7018,0,InstitutionalCharacteristics_HD
2004,C15SZSET,6916,0,InstitutionalCharacteristics_HD
2021,C15SZSET_label,6289,0,InstitutionalCharacteristics_HD
2020,C15SZSET_label,6440,0,InstitutionalCharacteristics_HD
2019,C15SZSET_label,6559,0,InstitutionalCharacteristics_HD
2018,C15SZSET_label,6857,0,InstitutionalCharacteristics_HD
2017,C15SZSET_label,7153,7153,InstitutionalCharacteristics_HD
2016,C15SZSET_label,7521,7521,InstitutionalCharacteristics_HD
2015,C15SZSET_label,7647,7647,InstitutionalCharacteristics_HD
2014,C15SZSET_label,7687,0,InstitutionalCharacteristics_HD
2013,C15SZSET_label,7764,0,InstitutionalCharacteristics_HD
2012,C15SZSET_label,7735,0,InstitutionalCharacteristics_HD
2011,C15SZSET_label,7643,0,InstitutionalCharacteristics_HD
2010,C15SZSET_label,7503,0,InstitutionalCharacteristics_HD
2009,C15SZSET_label,7316,0,InstitutionalCharacteristics_HD
2008,C15SZSET_label,7126,0,InstitutionalCharacteristics_HD
2007,C15SZSET_label,7052,0,InstitutionalCharacteristics_HD
2006,C15SZSET_label,7052,0,InstitutionalCharacteristics_HD
2005,C15SZSET_label,7018,0,InstitutionalCharacteristics_HD
2004,C15SZSET_label,6916,0,InstitutionalCharacteristics_HD
2021,C15UGPRF,6289,0,InstitutionalCharacteristics_HD
2020,C15UGPRF,6440,0,InstitutionalCharacteristics_HD
2019,C15UGPRF,6559,0,InstitutionalCharacteristics_HD
2018,C15UGPRF,6857,0,InstitutionalCharacteristics_HD
2017,C15UGPRF,7153,7153,InstitutionalCharacteristics_HD
2016,C15UGPRF,7521,7521,InstitutionalCharacteristics_HD
2015,C15UGPRF,7647,7647,InstitutionalCharacteristics_HD
2014,C15UGPRF,7687,0,InstitutionalCharacteristics_HD
2013,C15UGPRF,7764,0,InstitutionalCharacteristics_HD
2012,C15UGPRF,7735,0,InstitutionalCharacteristics_HD
2011,C15UGPRF,7643,0,InstitutionalCharacteristics_HD
2010,C15UGPRF,7503,0,InstitutionalCharacteristics_HD
2009,C15UGPRF,7316,0,InstitutionalCharacteristics_HD
2008,C15UGPRF,7126,0,InstitutionalCharacteristics_HD
